Date,Country,Confirmed,Deaths,Recovered
2020-04-13,Bangladesh,8539,642,4624
2020-04-18,Sri Lanka,6435,550,5111
2020-04-02,Sri Lanka,3125,29,1129
2020-04-10,Nepal,1717,123,125
2020-04-24,Bangladesh,4063,60,338
2020-04-20,Pakistan,9292,757,504
2020-04-17,Pakistan,6004,494,2065
2020-04-21,Sri Lanka,5445,214,3729
2020-04-02,Bangladesh,7085,373,5285
2020-04-13,Pakistan,1908,36,470
2020-04-23,Sri Lanka,8772,204,1359
2020-04-18,Pakistan,1745,18,1073
2020-04-02,Pakistan,7676,618,6684
2020-04-21,India,9354,712,4439
2020-04-19,India,8743,154,158
2020-04-12,Nepal,6123,284,582
2020-04-27,Sri Lanka,9691,233,3963
2020-04-15,Sri Lanka,5500,176,4491
2020-04-13,Bangladesh,3349,262,399
2020-05-01,Sri Lanka,2038,56,1733
2020-04-29,Nepal,6250,107,1740
2020-04-02,Nepal,4795,195,1300
2020-04-27,Sri Lanka,6843,631,324
2020-04-18,India,4951,193,3471
2020-04-24,India,5150,515,1851
2020-04-13,Sri Lanka,5089,107,4785
2020-05-01,Pakistan,3939,120,1649
2020-04-13,Bangladesh,4391,357,245
2020-04-26,Nepal,4564,301,2744
2020-04-08,India,1433,53,569
2020-04-09,Nepal,8727,412,1964
2020-04-12,Bangladesh,4002,82,466
2020-04-17,India,4958,461,2513
2020-04-10,Pakistan,2201,215,181
2020-04-16,Sri Lanka,8220,816,2997
2020-04-01,India,4666,101,3238
2020-04-16,India,6668,56,747
2020-04-21,India,2711,197,749
2020-04-13,Sri Lanka,5907,405,5122
2020-04-24,Sri Lanka,7818,655,2933
2020-04-21,Pakistan,6269,228,2833
2020-04-10,Pakistan,8224,256,7967
2020-04-09,Nepal,3410,39,2334
2020-04-27,Nepal,7236,345,3625
2020-04-24,Bangladesh,9821,289,6106
2020-04-12,Nepal,9914,553,2761
2020-04-01,Pakistan,8605,775,3830
2020-04-26,Nepal,6918,311,6558
2020-04-24,Nepal,3919,308,2837
2020-04-27,Sri Lanka,2714,140,2460
2020-04-28,Sri Lanka,9312,550,1302
2020-04-25,Bangladesh,7211,105,7076
2020-04-08,Sri Lanka,4978,333,3911
2020-04-15,Bangladesh,9270,456,2898
2020-04-23,Pakistan,2113,132,914
2020-04-27,Bangladesh,3597,110,2144
2020-04-08,Bangladesh,2799,93,322
2020-04-30,Pakistan,6405,333,3655
2020-04-03,Sri Lanka,1279,79,941
2020-04-04,Bangladesh,5836,168,1948
2020-04-28,India,4957,179,509
2020-04-19,Nepal,8219,591,1291
2020-04-30,India,8551,750,1003
2020-04-28,Nepal,1359,122,595
2020-04-05,Pakistan,7062,64,881
2020-04-11,Nepal,5103,497,3730
2020-04-29,Nepal,3520,24,1588
2020-05-01,Bangladesh,5149,84,3827
2020-04-14,Sri Lanka,7191,347,1946
2020-04-16,Bangladesh,8721,187,1812
2020-04-05,Pakistan,3081,101,1847
2020-04-20,Nepal,9133,65,7897
2020-04-29,Pakistan,8309,630,2092
2020-04-29,India,4302,289,2477
2020-04-15,Pakistan,1143,68,607
2020-04-08,Bangladesh,8191,404,5517
2020-04-14,Sri Lanka,6877,233,840
2020-04-26,Bangladesh,7088,163,5983
2020-04-06,Pakistan,2855,123,2260
2020-04-07,India,1882,130,690
2020-04-23,Sri Lanka,2092,113,404
2020-04-21,Sri Lanka,6185,243,2048
2020-04-14,Nepal,3620,176,2061
2020-04-12,Sri Lanka,4601,322,4228
2020-04-24,India,9972,572,4106
2020-04-05,India,6536,73,3802
2020-04-21,India,5163,138,467
2020-04-28,Nepal,8477,335,4760
2020-04-08,Nepal,3863,342,136
2020-04-10,Bangladesh,8294,436,1961
2020-04-11,Bangladesh,1806,63,691
2020-04-15,Bangladesh,1924,15,468
2020-04-14,Pakistan,2710,236,2157
2020-04-12,Bangladesh,3966,96,2124
2020-04-15,Bangladesh,3727,213,928
2020-04-12,India,1851,80,888
2020-04-04,Sri Lanka,9334,290,5556
2020-04-22,India,2141,179,577
2020-04-04,Pakistan,7745,253,7140
2020-04-02,Nepal,7260,268,4902
2020-04-25,Pakistan,1159,102,334
2020-04-24,Bangladesh,7151,57,5912
2020-04-16,Pakistan,4055,208,420
2020-04-19,India,2356,143,1716
2020-04-30,Sri Lanka,8455,142,7690
2020-04-14,Pakistan,2043,194,287
2020-04-25,Sri Lanka,6086,509,2638
2020-04-27,Pakistan,4223,237,3909
2020-04-14,Nepal,1765,42,1087
2020-04-25,Pakistan,7420,69,1129
2020-04-12,Bangladesh,2987,70,2450
2020-04-20,Sri Lanka,6603,474,3980
2020-04-10,Bangladesh,5647,170,3522
2020-04-15,Sri Lanka,1421,141,1000
2020-04-27,Pakistan,9202,11,6352
2020-04-05,Nepal,2935,122,1656
2020-04-04,Sri Lanka,2521,146,1794
2020-04-26,Pakistan,9311,46,1980
2020-04-06,India,8070,555,6442
2020-04-05,Bangladesh,9912,59,5125
2020-04-03,Bangladesh,5427,49,1125
2020-04-25,Bangladesh,3577,250,650
2020-04-30,Pakistan,3433,161,2548
2020-04-27,India,8773,254,1531
2020-04-28,Nepal,5909,122,2830
2020-04-17,India,2357,18,845
2020-04-11,Sri Lanka,6388,624,607
2020-04-04,Pakistan,5591,463,590
2020-04-23,Bangladesh,6762,547,3490
2020-04-16,India,9715,107,7286
2020-04-27,Bangladesh,1995,12,601
2020-04-10,Nepal,4560,77,3553
2020-04-12,Pakistan,3942,232,3273
2020-04-15,Bangladesh,9409,542,5437
2020-04-05,Nepal,6502,558,4751
2020-05-01,Sri Lanka,4098,56,2143
2020-04-10,Pakistan,8456,235,1736
2020-05-01,India,7562,540,1684
2020-04-19,Nepal,9163,255,2041
2020-04-19,Nepal,3034,159,2447
2020-04-06,Pakistan,1572,81,728
2020-04-09,Pakistan,6442,150,1173
2020-04-30,Bangladesh,1914,125,1081
2020-04-08,Sri Lanka,9833,124,8012
2020-04-30,Pakistan,1410,57,570
2020-04-01,Pakistan,4588,73,3364
2020-04-04,Pakistan,1116,22,1003
2020-04-30,Pakistan,2724,227,1366
2020-04-07,Bangladesh,9567,100,6011
2020-04-21,Pakistan,9906,768,255
2020-05-01,India,2637,162,654
2020-04-22,Pakistan,8155,784,2600
2020-04-06,Bangladesh,8025,582,4743
2020-04-12,Sri Lanka,8588,100,1797
2020-04-10,Nepal,6726,498,3369
2020-04-28,India,3968,122,3333
2020-04-23,Bangladesh,8695,199,3018
2020-04-21,India,3242,129,1850
2020-04-29,Nepal,2933,11,516
2020-04-26,India,7784,266,3417
2020-04-12,Bangladesh,3410,220,1263
2020-04-09,Nepal,4262,28,3117
2020-04-08,Nepal,8674,114,2718
2020-04-26,Pakistan,7686,18,5462
2020-04-09,Nepal,9572,779,6100
2020-04-08,Bangladesh,9043,721,1516
2020-04-25,Nepal,2192,36,1027
